id,name,streaming_services
tt0095327,Grave of the Fireflies,iTunes
tt0088846,Brazil,"iTunes, Google Play, Amazon Instant Video"
tt1605783,Midnight in Paris,"Google Play, Amazon Instant Video, iTunes, Netflix"
tt3315342,Logan,"iTunes, Amazon Instant Video, Disney+, Google Play"
tt0058461,A Fistful of Dollars,"iTunes, Google Play, Amazon Instant Video"
tt0056869,The Birds,"iTunes, Google Play, Amazon Instant Video"
tt0023969,Duck Soup,"Google Play, iTunes, Amazon Instant Video"
tt0107207,In the Name of the Father,"Amazon Instant Video, iTunes, Google Play"
tt0091763,Platoon,"Amazon Prime Video, Google Play, iTunes, Amazon Instant Video"
tt0118799,Life Is Beautiful,"iTunes, Google Play, Amazon Instant Video"
tt0119472,,
tt0022913,Freaks,"Google Play, iTunes, Amazon Instant Video"
tt0118849,Children of Heaven,"Amazon Instant Video, Google Play, iTunes"
tt10370710,The Worst Person in the World,"Amazon Instant Video, Google Play, iTunes"
tt0180093,Requiem for a Dream,"Google Play, Amazon Instant Video, iTunes"
tt0808417,Persepolis,"Amazon Instant Video, Google Play, iTunes"
tt3322420,Queen,"Google Play, Amazon Instant Video, iTunes, Netflix"
tt1408101,Star Trek into Darkness,"Google Play, Amazon Prime Video, Amazon Instant Video, iTunes"
tt0190590,"O Brother, Where Art Thou?","iTunes, Google Play, Amazon Instant Video"
tt15097216,Jai Bhim,Amazon Prime Video
tt1853728,Django Unchained,"iTunes, Google Play, Amazon Instant Video"
tt0265086,Black Hawk Down,"iTunes, Google Play, Amazon Instant Video"
tt0053779,,
tt0018455,Sunrise: A Song of Two Humans,"Google Play, iTunes, Amazon Instant Video"
tt0468569,The Dark Knight,"Google Play, iTunes, Amazon Instant Video, Netflix"
tt1093370,Jab We Met,"Netflix, Google Play"
tt0044706,High Noon,"iTunes, Google Play, Amazon Instant Video"
tt0790636,Dallas Buyers Club,"Amazon Instant Video, Google Play, iTunes"
tt0037382,To Have and Have Not,"Amazon Instant Video, Google Play, iTunes"
tt7838252,K.G.F,Amazon Prime Video
tt1235166,A Prophet,"Google Play, Amazon Instant Video, iTunes"
tt11032374,Demon Slayer the Movie: Mugen Train,"Amazon Instant Video, Google Play, iTunes"
tt7979580,The Mitchells vs the Machines,"iTunes, Google Play, Amazon Instant Video, Netflix"
tt0039689,Out of the Past,"Amazon Instant Video, Google Play, iTunes"
tt0092067,Castle in the Sky,"Amazon Instant Video, Google Play, iTunes, Netflix"
tt0088939,,
tt0061809,In Cold Blood,"Amazon Instant Video, iTunes, Google Play"
tt0032138,The Wizard of Oz,"Google Play, Amazon Instant Video, iTunes"
tt8291224,,
tt0094625,,
tt0425210,Lucky Number Slevin,"Amazon Instant Video, Google Play, iTunes, Amazon Prime Video"
tt0389557,Black Book,"Amazon Instant Video, Google Play, iTunes"
tt0045793,From Here to Eternity,"iTunes, Google Play, Amazon Instant Video"
tt0125659,Open Your Eyes,"Amazon Instant Video, Google Play, iTunes"
tt1856101,Blade Runner 2049,"Netflix, Google Play, Amazon Instant Video, iTunes"
tt1877830,The Batman,"Amazon Instant Video, Google Play, iTunes"
tt4846340,Hidden Figures,"iTunes, Google Play, Amazon Instant Video, Disney+"
tt0096874,Back to the Future Part II,"iTunes, Google Play, Amazon Instant Video"
tt10698680,K.G.F: Chapter 2,Amazon Prime Video
tt0248845,Hedwig and the Angry Inch,"Amazon Instant Video, Google Play, iTunes"
tt0104684,,
tt4468740,Paddington 2,"Amazon Instant Video, Google Play, iTunes"
tt0117381,Primal Fear,"Amazon Instant Video, Amazon Prime Video, iTunes, Google Play"
tt2265171,The Raid 2,"iTunes, Google Play, Amazon Instant Video"
tt0056687,What Ever Happened to Baby Jane?,"Amazon Instant Video, Google Play, iTunes"
tt0120363,Toy Story 2,"Disney+, Amazon Instant Video, Google Play, iTunes"
tt0062622,2001: A Space Odyssey,"Amazon Instant Video, iTunes, Google Play"
tt0099685,Goodfellas,"Amazon Instant Video, Google Play, iTunes, Netflix"
tt0358273,Walk the Line,"iTunes, Google Play, Amazon Instant Video"
tt0110413,Leon,"iTunes, Google Play, Amazon Prime Video, Amazon Instant Video, Netflix"
tt0250258,,
tt0056111,Ivan's Childhood,"Google Play, iTunes, Amazon Instant Video"
tt0253474,The Pianist,"Amazon Instant Video, Google Play, iTunes"
tt0031885,The Rules of the Game,"Amazon Instant Video, Google Play, iTunes"
tt0038348,Beauty and the Beast,"Amazon Instant Video, iTunes"
tt1562872,Zindagi Na Milegi Dobara,"Netflix, iTunes"
tt0053221,Rio Bravo,"iTunes, Google Play, Amazon Instant Video"
tt8267604,Capernaum,"Google Play, Amazon Instant Video, iTunes"
tt2317337,Vicky Donor,"Google Play, iTunes"
tt0105236,Reservoir Dogs,"iTunes, Google Play, Amazon Instant Video"
tt0169547,American Beauty,"Google Play, Netflix, iTunes, Amazon Prime Video, Amazon Instant Video"
tt1270798,X-Men: First Class,"iTunes, Disney+, Amazon Instant Video, Google Play"
tt0120601,Being John Malkovich,"iTunes, Google Play, Amazon Instant Video"
tt0085794,The King of Comedy,"Amazon Instant Video, iTunes"
tt0289879,The Butterfly Effect,"Amazon Instant Video, Google Play, iTunes"
tt0040724,Red River,"iTunes, Google Play, Amazon Instant Video"
tt0118845,,
tt5074352,Dangal,Netflix
tt1074638,Skyfall,"iTunes, Google Play, Amazon Prime Video, Amazon Instant Video, Netflix"
tt1590089,,
tt0056218,The Manchurian Candidate,"Amazon Instant Video, iTunes"
tt0061184,Who's Afraid of Virginia Woolf?,"iTunes, Google Play, Amazon Instant Video"
tt0347149,Howl's Moving Castle,"Google Play, Netflix, iTunes, Amazon Instant Video"
tt6155172,Roma,Netflix
tt9179430,,
tt0120586,American History X,"iTunes, Google Play, Amazon Instant Video"
tt8239946,Tumbbad,Amazon Prime Video
tt0081283,Ordinary People,"iTunes, Google Play, Amazon Instant Video"
tt2103281,Dawn of the Planet of the Apes,"iTunes, Google Play, Amazon Instant Video"
tt0167261,The Lord of the Rings: The Two Towers,"iTunes, Google Play, Amazon Prime Video, Amazon Instant Video"
tt0077416,The Deer Hunter,"iTunes, Google Play, Amazon Instant Video"
tt3896198,Guardians of the Galaxy: Vol. 2,"Amazon Instant Video, iTunes, Google Play, Disney+"
tt0082694,Mad Max 2,"Amazon Instant Video, iTunes, Google Play"
tt0060107,Andrei Rublev,"iTunes, Amazon Instant Video"
tt0088763,Back to the Future,"Amazon Instant Video, Google Play, iTunes"
tt5571734,Pink,"Google Play, iTunes, Amazon Instant Video"
tt0287467,Talk to Her,"iTunes, Amazon Instant Video, Google Play"
tt0104348,Glengarry Glen Ross,"Amazon Instant Video, Google Play, iTunes"
tt0080979,Kagemusha,"iTunes, Google Play, Amazon Instant Video"
tt0048545,Rebel Without a Cause,"Amazon Instant Video, iTunes, Google Play"
tt0116477,Hamlet,"Amazon Instant Video, iTunes, Google Play"
tt3076658,Creed,"Amazon Instant Video, iTunes, Google Play"
tt1490017,The Lego Movie,"Amazon Instant Video, Google Play, iTunes"
tt0140352,The Insider,"iTunes, Google Play, Amazon Instant Video, Amazon Prime Video"
tt0097814,Kiki's Delivery Service,"Amazon Instant Video, Google Play, iTunes"
tt0304141,Harry Potter and the Prisoner of Azkaban,"iTunes, Amazon Instant Video, Google Play"
tt0061852,The Jungle Book,"iTunes, Google Play, Amazon Instant Video, Disney+"
tt0450259,Blood Diamond,"Amazon Instant Video, Google Play, iTunes, Netflix"
tt0073707,Sholay,"Amazon Instant Video, Google Play, iTunes"
tt0087843,Once Upon a Time in America,Netflix
tt2096673,Inside Out,"Amazon Instant Video, Disney+, Google Play, iTunes"
tt0068327,Cabaret,"iTunes, Google Play, Amazon Instant Video"
tt0102926,The Silence of the Lambs,"Amazon Instant Video, iTunes, Google Play, Amazon Prime Video"
tt0073341,The Man Who Would Be King,"Amazon Instant Video, Google Play, iTunes"
tt0861739,Elite Squad,"iTunes, Amazon Instant Video, Google Play"
tt0120338,Titanic,"Amazon Instant Video, Google Play, iTunes"
tt0062229,Le Samurai,"Amazon Instant Video, iTunes, Google Play"
tt0092991,Evil Dead II,"Google Play, Amazon Instant Video, iTunes"
tt1280558,A Wednesday,"iTunes, Netflix"
tt0307901,25th Hour,"iTunes, Google Play, Amazon Instant Video"
tt0395169,Hotel Rawanda,"Amazon Instant Video, Google Play, iTunes"
tt0056058,Harakiri,"Amazon Instant Video, iTunes"
tt0073195,Jaws,"Amazon Instant Video, Google Play, iTunes, Netflix, Amazon Prime Video"
tt1865505,Song of the Sea,"Google Play, Amazon Instant Video, iTunes"
tt2948356,Zootropolis,"Amazon Instant Video, Disney+, iTunes, Google Play"
tt1365050,Beasts of No Nation,Netflix
tt0067093,Fiddler on the Roof,"Amazon Instant Video, iTunes, Google Play"
tt0096438,Who Framed Roger Rabbit,"Google Play, Disney+, Amazon Instant Video, iTunes, Amazon Prime Video"
tt1392190,Mad Max: Fury Road,"iTunes, Google Play, Amazon Instant Video"
tt9263550,Rocketry: The Nambi Effect,Amazon Prime Video
tt0038650,It's a Wonderful Life,"Amazon Prime Video, Amazon Instant Video, Google Play, iTunes"
tt0072443,,
tt2278871,Blue Is the Warmest Colour,"Amazon Instant Video, iTunes"
tt0780504,Drive,"Amazon Instant Video, Google Play, iTunes"
tt2872718,Nightcrawler,"Amazon Instant Video, Google Play, iTunes, Netflix"
tt0053125,North by Northwest,"iTunes, Google Play, Amazon Instant Video"
tt0209144,Memento,"Amazon Instant Video, Google Play, iTunes"
tt0086879,Amadeus,"iTunes, Google Play, Amazon Instant Video"
tt6966692,Green Book,"iTunes, Google Play, Amazon Instant Video"
tt0037008,Laura,"iTunes, Google Play, Amazon Instant Video"
tt0470752,Ex Machina,"Amazon Instant Video, Google Play, iTunes"
tt0452623,Gone Baby Gone,"Google Play, Amazon Instant Video, iTunes"
tt0101921,Fried Green Tomatoes at the Cafe,"iTunes, Google Play, Amazon Instant Video"
tt2582782,Hell or High Water,"Amazon Instant Video, Netflix, Google Play, iTunes"
tt2356180,,
tt2084970,The Imitation Game,"Amazon Instant Video, iTunes, Google Play, Netflix"
tt6751668,Parasite,"iTunes, Google Play, Amazon Instant Video"
tt0083944,First Blood,"iTunes, Google Play, Amazon Instant Video"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"iTunes, Google Play, Amazon Instant Video, Disney+"
tt0914798,The Boy in the Striped Pyjamas,"iTunes, Google Play, Amazon Instant Video"
tt0109445,Clerks,"iTunes, Google Play, Amazon Instant Video, AppleTV+"
tt0848228,Avengers Assemble,"Disney+, Google Play, iTunes, Amazon Instant Video"
tt0071853,Monty Python's The Holy Grail,"Netflix, Amazon Instant Video, Google Play, iTunes"
tt4857264,The Invisible Guest,"iTunes, Google Play, Amazon Instant Video, Netflix"
tt0374887,Munna Bhai M.B.B.S.,"Amazon Instant Video, Google Play, iTunes"
tt0247586,,
tt0162222,Cast Away,"Amazon Instant Video, Google Play, iTunes, Amazon Prime Video"
tt9071322,Dark Waters,"iTunes, Google Play, Amazon Instant Video"
tt0116231,,
tt1049413,Up,"iTunes, Amazon Instant Video, Disney+, Google Play"
tt0206634,Children of Men,"iTunes, Amazon Instant Video, Google Play, Amazon Prime Video"
tt0083987,Gandhi,"Amazon Instant Video, iTunes, Google Play"
tt0068473,Deliverance,"iTunes, Amazon Instant Video, Netflix, Google Play"
tt0099348,Dances with Wolves,"Google Play, Amazon Instant Video, iTunes"
tt0167260,The Lord of the Rings: The Return of the King,"iTunes, Google Play, Amazon Prime Video, Amazon Instant Video"
tt3521164,Moana,"Amazon Instant Video, iTunes, Google Play, Disney+"
tt2576852,The Tale of the Princess Kaguya,"Google Play, Amazon Instant Video, iTunes"
tt0103064,Terminator 2: Judgment Day,"Google Play, Amazon Instant Video, iTunes, Netflix"
tt0066206,Patton,"iTunes, Google Play, Amazon Instant Video"
tt1305806,The Secret in Their Eyes,"iTunes, Google Play, Amazon Instant Video"
tt0100998,Dreams,"Amazon Instant Video, iTunes, Google Play"
tt8178634,RRR,Netflix
tt7286456,Joker,"Amazon Instant Video, Google Play, iTunes"
tt1675434,,
tt0063442,Planet of the Apes,"Amazon Instant Video, iTunes, Google Play"
tt0340377,The Station Agent,"Amazon Instant Video, Google Play, iTunes"
tt5323662,A Silent Voice: The Movie,"iTunes, Amazon Instant Video, Google Play"
tt2980516,The Theory of Everything,"iTunes, Amazon Instant Video, Google Play, Amazon Prime Video"
tt1602620,Amour,"iTunes, Amazon Instant Video, Google Play"
tt1821549,Nebraska,"iTunes, Google Play, Amazon Prime Video, Amazon Instant Video"
tt0099077,Awakenings,"Google Play, iTunes, Netflix, Amazon Instant Video"
tt0328107,Man on Fire,"iTunes, Google Play, Amazon Prime Video, Amazon Instant Video"
tt0040725,The Red Shoes,"Amazon Instant Video, Google Play, iTunes"
tt1327035,Dev.D,Netflix
tt0460791,,
tt0021884,Frankenstein,"iTunes, Google Play, Amazon Instant Video"
tt0347304,Kal Ho Naa Ho,"Netflix, Amazon Prime Video, Google Play, iTunes"
tt0104797,Malcolm X,"Amazon Instant Video, iTunes, Google Play"
tt0093773,Predator,"Amazon Instant Video, Google Play, iTunes, Amazon Prime Video"
tt2802154,Leviathan,"Amazon Instant Video, Google Play, iTunes"
tt0051378,Lift to the Scaffold,"iTunes, Amazon Instant Video"
tt0103639,Aladdin,"Amazon Instant Video, Disney+, Google Play, iTunes"
tt8367814,The Gentlemen,"Amazon Instant Video, Google Play, iTunes, Netflix"
tt3281548,Little Women,"iTunes, Google Play, Amazon Instant Video"
tt0042041,White Heat,"iTunes, Google Play, Amazon Instant Video"
tt0100150,Miller's Crossing,"Amazon Instant Video, Google Play, iTunes"
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,"Amazon Instant Video, iTunes, Google Play, Disney+"
tt0026029,The Thirty-Nine Steps,"Amazon Instant Video, iTunes"
tt1454029,The Help,"iTunes, Google Play, Amazon Instant Video"
tt2245084,Big Hero 6,"iTunes, Google Play, Amazon Instant Video, Disney+"
tt0050986,Wild Strawberries,"Amazon Instant Video, iTunes"
tt1754656,The Little Prince,"Amazon Instant Video, iTunes, Google Play"
tt0369702,The Sea Inside,"Amazon Instant Video, Google Play, iTunes"
tt0260991,Joint Security Area,"Amazon Instant Video, Google Play, iTunes"
tt0092965,Empire of the Sun,"Amazon Instant Video, Google Play, iTunes"
tt0140888,,
tt2358891,The Great Beauty,"Amazon Instant Video, Google Play, iTunes"
tt0075148,Rocky,"Amazon Instant Video, iTunes, Google Play"
tt0363163,Downfall,"iTunes, Amazon Instant Video, Google Play"
tt0114369,Seven,"iTunes, Google Play, Amazon Instant Video"
tt0292490,Dil Chahta Hai,"Amazon Prime Video, Google Play, iTunes, Netflix"
tt0070034,Enter the Dragon,"Amazon Instant Video, iTunes, Google Play"
tt0469494,There Will Be Blood,"iTunes, Google Play, Amazon Instant Video"
tt0443706,Zodiac,"Netflix, Amazon Instant Video, Google Play, iTunes"
tt0449059,Little Miss Sunshine,"iTunes, Google Play, Amazon Instant Video"
tt0381849,3:10 to Yuma,"Google Play, Amazon Instant Video, iTunes"
tt0387564,Saw,"Google Play, Amazon Instant Video, iTunes"
tt0069281,,
tt0047296,On the Waterfront,"Amazon Instant Video, iTunes, Google Play"
tt0758758,Into the Wild,"iTunes, Amazon Instant Video, Google Play, Netflix"
tt0480025,This Is England,Amazon Instant Video
tt3460252,The Hateful Eight,"iTunes, Google Play, Netflix, Amazon Instant Video"
tt0036855,Gaslight,"iTunes, Google Play, Amazon Instant Video"
tt7961060,Dragon Ball Super: Broly,"iTunes, Google Play, Amazon Instant Video"
tt2294629,Frozen,"iTunes, Amazon Instant Video, Disney+, Google Play"
tt0024184,The Invisible Man,"iTunes, Amazon Instant Video, Google Play"
tt3498820,Captain America: Civil War,"Amazon Instant Video, iTunes, Google Play, Disney+"
tt0245574,Y tu mamá también,"iTunes, Google Play, Amazon Instant Video"
tt0169858,Neon Genesis Evangelion: The End of Evangelion,"iTunes, Google Play, Amazon Instant Video, Netflix"
tt1827487,Once Upon a Time in Anatolia,iTunes
tt0074958,Network,"Amazon Instant Video, iTunes, Google Play"
tt1220719,Ip Man,"Netflix, Amazon Instant Video, Google Play, iTunes"
tt3011894,Wild Tales,"Amazon Instant Video, Google Play, iTunes"
tt0032904,The Philadelphia Story,"iTunes, Google Play, Amazon Instant Video"
tt0034583,Casablanca,"Amazon Instant Video, iTunes, Google Play"
tt0104257,A Few Good Men,"iTunes, Google Play, Amazon Instant Video"
tt0052893,Hiroshima mon amour,"Google Play, iTunes, Amazon Instant Video"
tt0388795,Brokeback Mountain,"Amazon Instant Video, Google Play, iTunes"
tt5116302,,
tt1403865,True Grit,"iTunes, Amazon Instant Video, Google Play, Netflix"
tt0796366,Star Trek,"Amazon Instant Video, Google Play, iTunes, Netflix"
tt0211915,,
tt0416320,Match Point,"iTunes, Google Play, Amazon Instant Video"
tt1065073,Boyhood,"iTunes, Google Play, Amazon Instant Video, Disney+"
tt8946378,Knives Out,"Amazon Instant Video, Google Play, iTunes"
tt0088847,The Breakfast Club,"Amazon Instant Video, Google Play, iTunes"
tt0032553,The Great Dictator,"iTunes, Amazon Instant Video"
tt0091670,The Sacrifice,"Google Play, iTunes, Amazon Instant Video"
tt0109424,,
tt0319061,Big Fish,"Amazon Instant Video, Google Play, iTunes, Netflix"
tt0067328,The Last Picture Show,"Amazon Instant Video, Google Play, iTunes"
tt1210166,Moneyball,"iTunes, Google Play, Amazon Instant Video, Netflix, Amazon Prime Video"
tt2582496,Me and Earl and the Dying Girl,"iTunes, Google Play, Amazon Instant Video"
tt1659337,The Perks of Being a Wallflower,"Amazon Instant Video, Google Play, iTunes"
tt0108052,Schindler's List,"iTunes, Google Play, Amazon Instant Video"
tt1568346,The Girl with the Dragon Tattoo,"iTunes, Amazon Instant Video, Google Play, Netflix"
tt0054331,Spartacus,"iTunes, Google Play, Amazon Instant Video"
tt0108394,Three Colours: Blue,"iTunes, Amazon Instant Video"
tt0118843,,
tt0070510,Paper Moon,"Google Play, iTunes, Amazon Prime Video, Amazon Instant Video"
tt0081505,The Shining,"Google Play, iTunes, Amazon Instant Video"
tt0027977,Modern Times,"iTunes, Amazon Instant Video"
tt0033467,Citizen Kane,"Amazon Instant Video, iTunes, Google Play"
tt0268978,A Beautiful Mind,"Amazon Instant Video, Google Play, iTunes"
tt0106332,,
tt0133093,The Matrix,"iTunes, Google Play, Amazon Instant Video"
tt0097202,,
tt1855199,End of Watch,"iTunes, Amazon Instant Video, Google Play"
tt10295212,Shershaah,Amazon Prime Video
tt1119646,The Hangover,"iTunes, Google Play, Amazon Instant Video"
tt0064115,Butch Cassidy and the Sundance Kid,"Amazon Instant Video, Google Play, iTunes, Amazon Prime Video"
tt1683526,Detachment,"Google Play, Amazon Instant Video"
tt0093191,Wings of Desire,"Amazon Instant Video, Google Play, iTunes"
tt4934950,Talvar,"iTunes, Google Play"
tt0335266,Lost in Translation,"iTunes, Google Play, Amazon Instant Video"
tt8108198,Andhadhun,"Google Play, iTunes, Amazon Instant Video, Netflix"
tt2488496,Star Wars: Episode VII - The Force Awakens,"Amazon Instant Video, Disney+, Google Play, iTunes"
tt0258463,The Bourne Identity,"iTunes, Google Play, Amazon Instant Video"
tt2582802,Whiplash,"Amazon Instant Video, iTunes, Google Play"
tt0147612,,
tt1950186,Le Mans '66,"Google Play, iTunes, Amazon Instant Video"
tt2431286,Philomena,"Google Play, Netflix, iTunes, Amazon Instant Video"
tt0021749,City Lights,"iTunes, Amazon Instant Video, Google Play"
tt1398426,Straight Outta Compton,"Google Play, Amazon Instant Video, iTunes"
tt0249462,Billy Elliot,"iTunes, Amazon Instant Video, Google Play"
tt0107688,The Nightmare Before Christmas,"iTunes, Google Play, Amazon Instant Video, Disney+"
tt0457430,Pan's Labyrinth,"iTunes, Google Play, Amazon Instant Video"
tt0190332,"Crouching Tiger, Hidden Dragon","Amazon Instant Video, Amazon Prime Video, Google Play, iTunes"
tt2321405,My Life as a Courgette,"Amazon Instant Video, Google Play, iTunes"
tt0084855,The Verdict,"Amazon Instant Video, iTunes, Google Play"
tt1843866,Captain America - The Winter Soldier,"Amazon Instant Video, Disney+, Google Play, iTunes"
tt0350258,Ray,"iTunes, Google Play, Amazon Instant Video"
tt0375679,Crash,"Google Play, Amazon Instant Video, iTunes"
tt0061395,Belle de jour,"Amazon Instant Video, iTunes"
tt1170358,The Hobbit - The Desolation of Smaug,"Amazon Prime Video, Google Play, Amazon Instant Video, iTunes"
tt4154796,Avengers: Endgame,"Amazon Instant Video, Disney+, Google Play, iTunes"
tt0102536,Night on Earth,Amazon Instant Video
tt0078788,Apocalypse Now,"iTunes, Amazon Instant Video, Google Play"
tt0119116,The Fifth Element,"Amazon Instant Video, iTunes, Google Play"
tt0041959,The Third Man,"iTunes, Google Play, Amazon Instant Video"
tt3390572,Haider,Netflix
tt6148156,Vikram Vedha,"Google Play, Amazon Instant Video, iTunes, Amazon Prime Video"
tt0013442,Nosferatu,"Amazon Instant Video, Google Play, iTunes"
tt0059578,For a Few Dollars More,"Google Play, iTunes, Amazon Instant Video"
tt1205489,Gran Torino,"Google Play, Amazon Instant Video, iTunes"
tt0073486,One Flew Over the Cuckoo's Nest,"Google Play, Amazon Instant Video, iTunes"
tt0019254,The Passion of Joan of Arc,"Amazon Instant Video, iTunes"
tt1979320,Rush,"iTunes, Google Play, Amazon Instant Video, Netflix"
tt0076759,Star Wars: Episode IV - A New Hope,"Amazon Instant Video, Disney+, iTunes, Google Play"
tt2267998,Gone Girl,"iTunes, Google Play, Amazon Instant Video, Netflix"
tt1899353,The Raid,"iTunes, Google Play, Amazon Instant Video"
tt5463162,Deadpool 2,"Amazon Instant Video, Disney+, Google Play, iTunes"
tt0017925,The General,"Amazon Instant Video, Amazon Prime Video, Google Play, iTunes"
tt0317248,City of God,"iTunes, Amazon Instant Video, Google Play"
tt1189073,The Skin I Live In,"iTunes, Amazon Instant Video, Google Play"
tt0101414,Beauty and the Beast,"Amazon Instant Video, Disney+, Google Play, iTunes"
tt0069947,The Day of the Jackal,"iTunes, Google Play, Amazon Instant Video"
tt0083922,Fanny and Alexander,"iTunes, Amazon Instant Video"
tt0119177,Gattaca,"Google Play, Amazon Instant Video, iTunes"
tt0116282,Fargo,"Google Play, Amazon Instant Video, iTunes, Amazon Prime Video"
tt0299977,Hero,"Google Play, Amazon Instant Video, iTunes"
tt0043456,The Day the Earth Stood Still,"Amazon Instant Video, Google Play, iTunes"
